###,DoubleSpace compressed volume file
$ll,Steinberg Cubase compressed file
0,file icon0	Compressed harddisk data archive
000,Sequentially numbered backup files
000,file icon000	DoubleSpace compressed data file
001,Generally split archive or backup file (001-??? file sequence)
001,file icon001	Compressed file from a multi-volume archive (part 1)
002,Drive Image 5 setup file
002,Generally split archive or backup file (part 002)
002,file icon002	Compressed file from a multi-volume archive (part 2)
003,Drive Image 5 setup file
003,Generally split archive or backup file (part 003)
003,file icon003	Compressed file from a multi-volume archive (part 3)
004,Generally split archive or backup file (part 004)
004,file icon004	Compressed file from a multi-volume archive (part 4)
005,Generally split archive or backup file (part 005)
005,file icon005	Compressed file from a multi-volume archive (part 5)
006,Generally split archive or backup file (part 006)
006,file icon006	Compressed file from a multi-volume archive (part 6)
007,James Bond 007: Nightfire game data
007,file icon007	Compressed file from a multi-volume archive (part 7)
008,file icon008	Compressed file from a multi-volume archive (part 8)
009,file icon009	Compressed file from a multi-volume archive (part 9)
010,Generally split archive or backup file (part 010)
010,file icon010	Compressed file from a multi-volume archive (part 10)
011,file icon011	Compressed file from a multi-volume archive (part 11)
012,file icon012	Split file or Compressed file from a multi-volume archive (part 12)
013,file icon013	Split file or Compressed file from a multi-volume archive (part 13)
014,file icon014	Split file or Compressed file from a multi-volume archive (part 14)
015,file icon015	Split file or Compressed file from a multi-volume archive (part 15)
016,file icon016	Split file or Compressed file from a multi-volume archive (part 16)
017,file icon017	Split file or Compressed file from a multi-volume archive (part 17)
018,file icon018	Split file or Compressed file from a multi-volume archive (part 18)
019,file icon019	Split file or Compressed file from a multi-volume archive (part 19)
01_,Winfunktion Mathematic v8.0 Julia fractal file
020,file icon020	Split file or Compressed file from a multi-volume archive (part 20)
021,file icon021	Split file or Compressed file from a multi-volume archive (part 21)
022,file icon022	Split file or Compressed file from a multi-volume archive (part 22)
023,file icon023	Split file or Compressed file from a multi-volume archive (part 23)
024,file icon024	Split file or Compressed file from a multi-volume archive (part 24)
025,file icon025	Split file or Compressed file from a multi-volume archive (part 25)
026,file icon026	Split file or Compressed file from a multi-volume archive (part 26)
027,file icon027	Split file or Compressed file from a multi-volume archive (part 027)
028,file icon028	Split file or Compressed file from a multi-volume archive (part 28)
029,file icon029	Split file or Compressed file from a multi-volume archive (part 29)
02_,Winfunktion Mathematic v8.0 Julia fractal
030,file icon030	Split file or Compressed file from a multi-volume archive (part 30)
031,file icon031	Split file or Compressed file from a multi-volume archive (part 31)
032,file icon032	Split file or Compressed file from a multi-volume archive (part 32)
