256,Atari picture image
695,RISC OS GIF image file
697,RISC OS PCX bitmap image file
[b],Amiga paint image file
0-r,PNG image
00_jpg_srb,JPEG bitmap image
00_jpg_srz,Wix compressed picture image file
00_png_srz,Wix Portable Network Graphic image
1-p,PNG file
10x,Gemini 10x printer bitmap graphics file
16,ISOLINUX splash screen graphic (LSS16)
24b,24-bit graphic file
2bp,Pocket PC bitmap file
301,Brooktrout 301 image file
3r,Arbortext Advanced Print Publisher raster image
4mi,AtariTools-800 4 missiles
4pl,AtariTools-800 4 players
4pp,PhotoParade slideshow file
600x,Image file
69c,RISC OS BMP Windows bitmap image file
73i,TI bitmap file
82i,TI bitmap file
83i,TI bitmap file
85i,TI bitmap file
86i,TI bitmap file
89i,TI bitmap file
8xi,TI-83/84 Plus picture file
92i,TI bitmap file
9xi,Texas Instruments TI-92 Plus bitmap file
a4r,Anime 4ever picture image
a8,Cubicomp PictureMaker 3D animation file
aai,Dune HD Player AAI graphics image file
abt,ABC-View Manager thumbnail file
acbm,Amiga Continuous Bitmap format
acc,MS Image Composer
accountpicture-ms,Microsoft Windows account picture
ace,Aces200 image file
ach,Speccy ZX Spectrum snapshot file
acorn,Acorn draw file
acr,Bitmap graphics
acr,Dicom medicine image file format
adc,Scanstudio 16 colours bitmap graphics
adex,Adex bitmap graphics file
adx,ALSee thumbnail file
afi,Aperio AFI picture image file
agif,Active GIF Creator project file
agp,ArtGem project file
agp,AtariTools-800 picture image
ahf,Bitmap graphics file
ahrp,Apple II+ image file
aic,Advanced Image Coding file
aid,ACDSee Classic thumbnail file
aim,SCANCO Medical image format
aio,Bitmap file
ais,Alto subsystem AIS (Array' of Intensity Samples) file
alias,Alias image file
all,Atari picture image
als,Alias image
anv,AirNav image file
ap2,Atari picture image
ap3,Atari picture image
apalbum,Apple Aperture album
apc,Atari picture image
apd,ACDSee picture image file
apl,Atari Player Editor picture image
apn,Alpine wallpaper file
apng,Animated portable network graphics file
app,Atari picture image
apt,APT encoded bitmap file
apu,Canon G3 corrupted RAW file
apv,Atari picture image
apx,Ability Photopaint image file
arf,FITS auxiliary response file
arf,Axon RAW Format
arn,Astronomical Research Network image format file
ars,Aries (DIPIX) image
art,Ascii-Art Editor picture image
art,Art Director for Atari ST picture image
artwork,ArtStudio image file
arw,ArtStudio image file
atk,Andrew Toolkit raster object file
