mp4,MPEG-4 video file format
avi,Audio Video Interleave movie
264,H.264/MPEG-4 AVC video file
arf,WebEx advanced record
dav,DVR365 encrypted video recording
mov,Apple QuickTime digital video
ts,MPEG-TV recorded video format
trec,Camtasia Studio recorded session
dv4,Bosch Security Systems CCTV video
mkv,Matroska multimedia container
dvr,Microsoft Windows XP Media Center recorded television file
exo,Youtube for Android video file
avc,MPEG-4 AVC Advanced Video Coding movie
h264,H.264 video
fbr,BB FlashBack recorded video file
ifv,Fuho 16CH Standalone DVR backup video file
trp,MPEG-2 HD video file
wve,Wondershare Video Editor project
h260,Video recording file
dash,Dynamic Adaptive Streaming over HTTP video file
n3r,Panasonic WJ-ND300A NDR video format file
swf,ShockWave Flash
yify,Warez movie
webm,Matroska WebM video
pds,Cyberlink PowerDirector project
g64,Security camera video
bik,BINK video
vvf,CCTV DVR camera video format
tvs,TeamViewer session file
vob,DVD video object
rec,Recorded file
bup,Backup of DVD info file
vcr,ATI Personal Video Recorder captured video
hkv,Eyesight IP Camera video
ssif,Blu-ray stereoscopic interleaved movie
strg,E-Viewer recorded video copy backup
etrg,Warez movie
mk3d,Matroska MKV 3D stereoscopic video file
mxf,Material Exchange Format video
vpj,VideoPad video editor project file
dxr,Adobe Director protected movie
vse,Video Server E captured video
tts,MPEG-2 video
flv,Flash video file
m2t,MPEG-2 transport stream
dv5,DV5 DVR digital video file
camrec,Camtasia Studio recorder file
wmv,Windows Media Video file
lrv,GoPro low resolution video
irf,iVIEW DVR H.264 video file
prproj,Adobe Premiere Pro project
mts,AVCHD MPEG-2 transport stream
ifv,Indeo Video Format
ogv,Ogg Vorbis video file
gifv,Graphics Interchange Format video file
bvr,Blue Iris video file
camproj,Camtasia Studio project file
moff,Sony AVCHD index file
ismv,Smooth Streaming MPEG-4 multimedia fragment
dxa,DXA video format
dat,Video CD MPEG movie MPEG1
ivf,Indeo video recording
vgz,VGuard proprietary H.264 CODEC video
vf,Vegas Movie Studio project
vghd,VirtuaGirlHD model videoclip
ezp,EDIUS project
m2p,MPEG-2 stream file format
mks,Matroska subtitles stream
mjpeg,Motion JPEG video
